timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
14051.747846,collector,163,98,25.8390,0.0176
14051.7548231,insight,163,108,26.1675,0.0304
14051.7754693,collector,164,104,27.6233,0.0435
14051.7797578,insight,164,109,24.9347,0.0304
14051.8025087,collector,165,106,27.0394,0.0218
14051.8060782,insight,165,100,26.3204,0.0174
14051.8267161,collector,166,98,24.2074,0.0183
14051.8316871,insight,166,107,25.6089,0.0190
14051.8515403,collector,167,98,24.8242,0.0224
14051.8587376,insight,167,100,27.0505,0.0186
14051.8783262,collector,168,98,26.7859,0.0183
14051.8854465,insight,168,98,26.7089,0.0203
14051.9045111,collector,169,98,26.1849,0.0333
14051.9107733,insight,169,98,25.3268,0.0137
14051.9311995,collector,170,98,26.6884,0.0168
14051.9342736,insight,170,97,23.5003,0.0151
14051.9564911,collector,171,98,25.2916,0.0171
14051.9581334,insight,171,97,23.8598,0.0132
14051.9823251,collector,172,98,25.8340,0.0203
14051.9854797,insight,172,100,27.3463,0.0262
14052.0030634,collector,173,98,20.7383,0.0298
14052.0100844,insight,173,107,24.6047,0.0302
14052.0266527,collector,174,98,23.5893,0.0149
14052.0363256,insight,174,107,26.2412,0.0190
14052.0528105,collector,175,98,26.1578,0.0286
14052.0626784,insight,175,98,26.3528,0.0417
14052.0788624,collector,176,98,26.0519,0.0194
14052.0893597,insight,176,103,26.6813,0.0182
14052.105812,collector,177,98,26.9496,0.0180
14052.1133945,insight,177,100,24.0348,0.0228
14052.1311516,collector,178,98,25.3396,0.0205
14052.1397832,insight,178,100,26.3887,0.0203
14052.1558205,collector,179,98,24.6689,0.0222
14052.1648156,insight,179,107,25.0324,0.0179
14052.1810376,collector,180,98,25.2171,0.0165
14052.1908112,insight,180,99,25.9956,0.0166
14052.2101895,collector,181,98,29.1519,0.0437
14052.2160182,insight,181,99,25.2070,0.0198
14052.23652,collector,182,98,26.3305,0.0224
14052.2427666,insight,182,98,26.7484,0.0421
14052.2631582,collector,183,98,26.6382,0.0171
14052.2687965,insight,183,98,26.0299,0.0227
14052.2885656,collector,184,98,25.4074,0.0296
14052.2948366,insight,184,98,26.0401,0.0180
14052.3154194,collector,185,98,26.8538,0.0204
14052.3209722,insight,185,98,26.1356,0.0207
14052.3434832,collector,186,98,28.0638,0.0264
14052.347219,insight,186,106,26.2468,0.0340
14052.3689573,collector,187,101,25.4741,0.0320
14052.3715283,insight,187,101,24.3093,0.0200
14052.3965686,collector,188,97,27.6113,0.0249
14052.3999155,insight,188,104,28.3872,0.0543
14052.4221462,collector,189,99,25.5776,0.0158
14052.4278389,insight,189,100,27.9234,0.0200
14052.4520361,collector,190,98,29.8899,0.0196
14052.4552696,insight,190,108,27.4307,0.0298
14052.4775241,collector,191,100,25.4880,0.0161
14052.4809455,insight,191,101,25.6759,0.0349
14052.5032954,collector,192,99,25.7713,0.0181
14052.5069342,insight,192,101,25.9887,0.0220
14052.5306693,collector,193,101,27.3739,0.0402
14052.532807,insight,193,105,25.8728,0.0166
14052.5570729,collector,194,103,26.4036,0.0273
14052.5592549,insight,194,102,26.4479,0.0751
14052.5848667,collector,195,100,27.7938,0.0325
14052.5865394,insight,195,98,27.2845,0.0156
14052.6124397,collector,196,98,27.5730,0.0194
14052.6141126,insight,196,100,27.5732,0.0105
14052.6392771,collector,197,98,26.8374,0.0419
14052.6406897,insight,197,98,26.5771,0.0129
14052.6655701,collector,198,98,26.2930,0.0232
14052.6689725,insight,198,99,28.2828,0.0152
14052.6913083,collector,199,103,25.7382,0.0170
14052.6968558,insight,199,104,27.8833,0.0152
14052.7192743,collector,200,96,27.9660,0.0260
14052.7219754,insight,200,109,25.1196,0.0248
14052.7470911,collector,201,104,27.8168,0.0252
14052.7483853,insight,201,103,26.4099,0.0155
14052.7730149,collector,202,105,25.9238,0.0201
14052.7750763,insight,202,102,26.6910,0.0913
14052.7992512,collector,203,98,26.2363,0.0298
14052.8025168,insight,203,105,27.4405,0.0423
14052.8247592,collector,204,98,25.5080,0.0183
14052.8291238,insight,204,98,26.6070,0.0221
