latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
17.009,10,587.9240402140043,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,236.88161199970637,17.009,5.7684
27.9101,10,358.2932343488558,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,224.38720100035425,27.9101,7.7552
31.2052,10,320.45941061105196,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,214.78655700047966,31.2052,8.3858
29.8609,10,334.88608849699773,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,224.9843259996851,29.8609,8.5108
33.7704,10,296.11730983346365,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,241.21938399912324,33.7704,8.5027
33.4077,10,299.332189884368,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,232.32474899850786,33.4077,8.5616
42.3364,10,236.20336164624297,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,260.8025629997428,42.3364,10.5545
39.0675,10,255.96723619376718,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,226.75297499881708,39.0675,8.9395
36.7636,10,272.0081820061148,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,236.69257700021262,36.7636,8.6387
39.4203,10,253.6764053038663,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,224.10434700213955,39.4203,9.4664
38.2315,10,261.5644167767417,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,256.28262600002927,38.2315,9.4369
40.9474,10,244.21574996214656,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,221.4595079967694,40.9474,9.5714
45.7982,10,218.34919276303432,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,276.8354370018642,45.7982,10.8869
40.8759,10,244.6429314094613,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,261.0213680018205,40.8759,11.961
44.2368,10,226.05613425925927,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,274.5622380025452,44.2368,11.5906
45.3811,10,220.35605130770298,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,238.57432500153664,45.3811,10.5265
46.5141,10,214.9885733573261,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,241.3322890024574,46.5141,9.8958
48.9321,10,204.36482390904948,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,242.76728200129583,48.9321,10.7572
46.6248,10,214.4781318096807,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,234.03926600076375,46.6248,14.2008
52.3376,10,191.06722509247652,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,243.43609999777982,52.3376,10.8898
51.1687,10,195.4319730616568,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,247.80835499768727,51.1687,11.4742
52.3782,10,190.91912284118203,ok,single_micro,micro,ollama,models/qwen2.5-0.5b,fp16,,250.30010100090294,52.3782,11.9513
