latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
3.8001869979780167,27,7104.913525141267,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.790875998674892,25,6594.781788889639,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.945602999010589,27,6843.0604920897,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.805173000728246,25,6570.003517636497,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.7699599997722544,27,7161.87970207405,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
3.801054001087323,25,6577.1230802952405,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,
1.6148989998328034,27,16719.311859624293,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5491820013266988,25,16137.548705439602,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.53679099821602,27,17569.077403070998,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5260869986377656,25,16381.765929672296,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5297960017051082,27,17649.4120588012,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5323040024668444,25,16315.300331887598,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5292249991034623,27,17656.0022336996,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5335779971792363,25,16301.746664325763,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5302339998015668,27,17644.36027659902,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5421819989569485,25,16210.797439542606,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5349060013249982,27,17590.65374471949,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5276470003300346,25,16365.037207286088,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.530036999611184,27,17646.632079395004,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5217349973681848,25,16428.616048942215,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5206780008156784,27,17755.238114523545,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5332719995058142,25,16305.000031343232,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.537624000775395,27,17559.55941529555,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5238929991028272,25,16405.35130400785,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5293239994207397,27,17654.85927784221,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5211309982987586,25,16435.139398224175,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5207639989966992,27,17754.23406775334,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5533200021309312,25,16094.55872949785,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5318869991460815,27,17625.320937543427,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5355750001617707,25,16280.546373421215,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5347020016633905,27,17592.99197546884,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.528056996903615,25,16360.64626559013,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5396350027003791,27,17536.623909332062,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5311759998439811,25,16327.319656621688,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.520275000075344,27,17759.944745958393,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.523855000414187,25,16405.760386129223,ok,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.9224680003826506,51,13002.018115896617,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
3.9669779980613384,51,12856.133818973458,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
3.9411529978679027,51,12940.37557729683,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
3.8321020001603756,51,13308.622786623535,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
3.902931999618886,51,13067.099299957072,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
4.055923000123585,51,12574.203208109726,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
3.8836629973957315,51,13131.932413857505,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,
