timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:00:45.437, 134.97 W, 100 %, 9727 MiB
2025/11/27 17:00:45.605, 134.97 W, 100 %, 9727 MiB
2025/11/27 17:00:45.773, 134.97 W, 100 %, 9727 MiB
2025/11/27 17:00:45.927, 135.30 W, 100 %, 9727 MiB
2025/11/27 17:00:46.097, 135.30 W, 100 %, 9727 MiB
2025/11/27 17:00:46.282, 134.57 W, 99 %, 9727 MiB
2025/11/27 17:00:46.467, 134.57 W, 99 %, 9727 MiB
2025/11/27 17:00:46.637, 134.57 W, 99 %, 9727 MiB
2025/11/27 17:00:46.806, 134.19 W, 99 %, 9727 MiB
2025/11/27 17:00:46.977, 134.19 W, 99 %, 9727 MiB
2025/11/27 17:00:47.147, 134.19 W, 99 %, 9727 MiB
2025/11/27 17:00:47.316, 133.71 W, 99 %, 9727 MiB
2025/11/27 17:00:47.486, 133.71 W, 99 %, 9727 MiB
2025/11/27 17:00:47.657, 133.71 W, 99 %, 9727 MiB
2025/11/27 17:00:47.826, 133.12 W, 99 %, 9727 MiB
2025/11/27 17:00:47.994, 133.12 W, 99 %, 9727 MiB
2025/11/27 17:00:48.165, 133.12 W, 99 %, 9727 MiB
2025/11/27 17:00:48.335, 132.40 W, 100 %, 9727 MiB
2025/11/27 17:00:48.504, 132.40 W, 100 %, 9727 MiB
2025/11/27 17:00:48.674, 132.40 W, 100 %, 9727 MiB
2025/11/27 17:00:48.845, 133.57 W, 100 %, 9727 MiB
2025/11/27 17:00:49.014, 133.57 W, 100 %, 9727 MiB
2025/11/27 17:00:49.181, 133.57 W, 100 %, 9727 MiB
2025/11/27 17:00:49.349, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:49.518, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:49.689, 133.88 W, 100 %, 9727 MiB
2025/11/27 17:00:49.859, 132.63 W, 100 %, 9727 MiB
2025/11/27 17:00:50.030, 132.63 W, 100 %, 9727 MiB
2025/11/27 17:00:50.200, 132.63 W, 100 %, 9727 MiB
2025/11/27 17:00:50.370, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:50.538, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:50.723, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:50.892, 133.00 W, 100 %, 9727 MiB
2025/11/27 17:00:51.063, 133.00 W, 100 %, 9727 MiB
2025/11/27 17:00:51.232, 133.00 W, 100 %, 9727 MiB
2025/11/27 17:00:51.401, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:51.572, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:51.740, 132.95 W, 100 %, 9727 MiB
2025/11/27 17:00:51.909, 134.20 W, 100 %, 9727 MiB
2025/11/27 17:00:52.081, 134.20 W, 100 %, 9727 MiB
2025/11/27 17:00:52.253, 134.20 W, 100 %, 9727 MiB
2025/11/27 17:00:52.422, 114.72 W, 48 %, 9727 MiB
2025/11/27 17:00:52.591, 114.72 W, 48 %, 9727 MiB
2025/11/27 17:00:52.760, 114.72 W, 48 %, 9727 MiB
2025/11/27 17:00:52.928, 114.02 W, 48 %, 9727 MiB
2025/11/27 17:00:53.083, 114.02 W, 48 %, 9727 MiB
2025/11/27 17:00:53.252, 114.02 W, 48 %, 9727 MiB
2025/11/27 17:00:53.421, 128.89 W, 100 %, 9727 MiB
2025/11/27 17:00:53.589, 128.89 W, 100 %, 9727 MiB
2025/11/27 17:00:53.758, 128.89 W, 100 %, 9727 MiB
2025/11/27 17:00:53.928, 133.12 W, 100 %, 9727 MiB
2025/11/27 17:00:54.097, 133.12 W, 100 %, 9727 MiB
2025/11/27 17:00:54.265, 133.12 W, 100 %, 9727 MiB
