timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:05:08.790, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:08.959, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:09.131, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:09.302, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:09.473, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:09.628, 136.11 W, 100 %, 9499 MiB
2025/11/27 17:05:09.798, 135.94 W, 100 %, 9499 MiB
2025/11/27 17:05:09.968, 135.94 W, 100 %, 9499 MiB
2025/11/27 17:05:10.138, 135.94 W, 100 %, 9499 MiB
2025/11/27 17:05:10.295, 135.80 W, 100 %, 9499 MiB
2025/11/27 17:05:10.464, 135.80 W, 100 %, 9499 MiB
2025/11/27 17:05:10.636, 135.80 W, 100 %, 9499 MiB
2025/11/27 17:05:10.806, 134.91 W, 100 %, 9499 MiB
2025/11/27 17:05:10.975, 134.91 W, 100 %, 9499 MiB
2025/11/27 17:05:11.148, 134.91 W, 100 %, 9499 MiB
2025/11/27 17:05:11.317, 133.40 W, 98 %, 9499 MiB
2025/11/27 17:05:11.472, 133.40 W, 98 %, 9499 MiB
2025/11/27 17:05:11.657, 133.40 W, 98 %, 9499 MiB
2025/11/27 17:05:11.828, 132.40 W, 98 %, 9499 MiB
2025/11/27 17:05:11.999, 132.40 W, 98 %, 9499 MiB
2025/11/27 17:05:12.171, 132.40 W, 98 %, 9499 MiB
2025/11/27 17:05:12.343, 132.20 W, 98 %, 9499 MiB
2025/11/27 17:05:12.516, 132.20 W, 98 %, 9499 MiB
2025/11/27 17:05:12.687, 132.20 W, 98 %, 9499 MiB
2025/11/27 17:05:12.857, 131.97 W, 98 %, 9499 MiB
2025/11/27 17:05:13.028, 131.97 W, 98 %, 9499 MiB
2025/11/27 17:05:13.184, 131.97 W, 98 %, 9499 MiB
2025/11/27 17:05:13.354, 132.56 W, 100 %, 9499 MiB
2025/11/27 17:05:13.525, 132.56 W, 100 %, 9499 MiB
2025/11/27 17:05:13.697, 132.56 W, 100 %, 9499 MiB
2025/11/27 17:05:13.869, 133.94 W, 100 %, 9499 MiB
2025/11/27 17:05:14.039, 133.94 W, 100 %, 9499 MiB
2025/11/27 17:05:14.210, 133.94 W, 100 %, 9499 MiB
2025/11/27 17:05:14.364, 134.38 W, 98 %, 9499 MiB
2025/11/27 17:05:14.534, 134.38 W, 98 %, 9499 MiB
2025/11/27 17:05:14.691, 134.38 W, 98 %, 9499 MiB
2025/11/27 17:05:14.860, 133.59 W, 98 %, 9499 MiB
2025/11/27 17:05:15.033, 133.59 W, 98 %, 9499 MiB
2025/11/27 17:05:15.204, 133.59 W, 98 %, 9499 MiB
2025/11/27 17:05:15.374, 133.86 W, 99 %, 9499 MiB
2025/11/27 17:05:15.544, 133.86 W, 99 %, 9499 MiB
2025/11/27 17:05:15.699, 133.86 W, 99 %, 9499 MiB
2025/11/27 17:05:15.869, 135.30 W, 99 %, 9499 MiB
2025/11/27 17:05:16.040, 135.30 W, 99 %, 9499 MiB
2025/11/27 17:05:16.194, 135.30 W, 99 %, 9499 MiB
2025/11/27 17:05:16.349, 136.08 W, 100 %, 9499 MiB
2025/11/27 17:05:16.503, 136.08 W, 100 %, 9499 MiB
2025/11/27 17:05:16.658, 136.08 W, 100 %, 9499 MiB
2025/11/27 17:05:16.812, 135.25 W, 100 %, 9499 MiB
2025/11/27 17:05:16.966, 135.25 W, 100 %, 9499 MiB
2025/11/27 17:05:17.122, 135.25 W, 100 %, 9499 MiB
2025/11/27 17:05:17.278, 135.25 W, 100 %, 9499 MiB
2025/11/27 17:05:17.432, 134.35 W, 99 %, 9499 MiB
2025/11/27 17:05:17.587, 134.35 W, 99 %, 9499 MiB
2025/11/27 17:05:17.774, 134.35 W, 99 %, 9499 MiB
2025/11/27 17:05:17.942, 135.20 W, 99 %, 9499 MiB
2025/11/27 17:05:18.112, 135.20 W, 99 %, 9499 MiB
2025/11/27 17:05:18.281, 135.20 W, 99 %, 9499 MiB
2025/11/27 17:05:18.451, 135.69 W, 100 %, 9499 MiB
2025/11/27 17:05:18.621, 135.69 W, 100 %, 9499 MiB
2025/11/27 17:05:18.790, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:18.945, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:19.115, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:19.287, 135.62 W, 100 %, 9499 MiB
2025/11/27 17:05:19.456, 135.54 W, 100 %, 9499 MiB
2025/11/27 17:05:19.627, 135.54 W, 100 %, 9499 MiB
2025/11/27 17:05:19.780, 135.54 W, 100 %, 9499 MiB
2025/11/27 17:05:19.935, 135.60 W, 100 %, 9499 MiB
2025/11/27 17:05:20.092, 135.60 W, 100 %, 9499 MiB
2025/11/27 17:05:20.249, 135.60 W, 100 %, 9499 MiB
2025/11/27 17:05:20.404, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:05:20.575, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:05:20.745, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:05:20.929, 136.69 W, 100 %, 9499 MiB
2025/11/27 17:05:21.085, 136.69 W, 100 %, 9499 MiB
2025/11/27 17:05:21.239, 136.69 W, 100 %, 9499 MiB
2025/11/27 17:05:21.410, 136.85 W, 100 %, 9499 MiB
2025/11/27 17:05:21.579, 136.85 W, 100 %, 9499 MiB
2025/11/27 17:05:21.748, 136.85 W, 100 %, 9499 MiB
2025/11/27 17:05:21.918, 136.88 W, 100 %, 9499 MiB
2025/11/27 17:05:22.086, 136.88 W, 100 %, 9499 MiB
2025/11/27 17:05:22.242, 136.88 W, 100 %, 9499 MiB
2025/11/27 17:05:22.397, 136.38 W, 100 %, 9499 MiB
2025/11/27 17:05:22.568, 136.38 W, 100 %, 9499 MiB
2025/11/27 17:05:22.739, 136.38 W, 100 %, 9499 MiB
2025/11/27 17:05:22.893, 136.05 W, 100 %, 9499 MiB
2025/11/27 17:05:23.048, 136.05 W, 100 %, 9499 MiB
2025/11/27 17:05:23.203, 136.05 W, 100 %, 9499 MiB
2025/11/27 17:05:23.358, 137.32 W, 100 %, 9499 MiB
2025/11/27 17:05:23.527, 137.32 W, 100 %, 9499 MiB
2025/11/27 17:05:23.697, 137.32 W, 100 %, 9499 MiB
2025/11/27 17:05:23.868, 137.51 W, 100 %, 9499 MiB
2025/11/27 17:05:24.036, 137.51 W, 100 %, 9499 MiB
2025/11/27 17:05:24.205, 137.51 W, 100 %, 9499 MiB
2025/11/27 17:05:24.360, 136.76 W, 100 %, 9499 MiB
2025/11/27 17:05:24.530, 136.76 W, 100 %, 9499 MiB
2025/11/27 17:05:24.699, 136.76 W, 100 %, 9499 MiB
2025/11/27 17:05:24.870, 137.71 W, 100 %, 9499 MiB
2025/11/27 17:05:25.025, 137.71 W, 100 %, 9499 MiB
2025/11/27 17:05:25.179, 137.71 W, 100 %, 9499 MiB
2025/11/27 17:05:25.350, 151.95 W, 89 %, 9499 MiB
2025/11/27 17:05:25.504, 151.95 W, 89 %, 9499 MiB
2025/11/27 17:05:25.675, 151.95 W, 89 %, 9499 MiB
2025/11/27 17:05:25.843, 163.35 W, 89 %, 9499 MiB
2025/11/27 17:05:25.998, 163.35 W, 89 %, 9499 MiB
2025/11/27 17:05:26.168, 163.35 W, 89 %, 9499 MiB
2025/11/27 17:05:26.338, 161.16 W, 91 %, 9499 MiB
2025/11/27 17:05:26.493, 161.16 W, 91 %, 9499 MiB
2025/11/27 17:05:26.662, 161.16 W, 91 %, 9499 MiB
2025/11/27 17:05:26.831, 160.07 W, 91 %, 9499 MiB
2025/11/27 17:05:26.985, 160.07 W, 91 %, 9499 MiB
2025/11/27 17:05:27.155, 160.07 W, 91 %, 9499 MiB
2025/11/27 17:05:27.339, 160.31 W, 92 %, 9499 MiB
2025/11/27 17:05:27.509, 160.31 W, 92 %, 9499 MiB
2025/11/27 17:05:27.678, 160.31 W, 92 %, 9499 MiB
2025/11/27 17:05:27.848, 157.75 W, 92 %, 9499 MiB
2025/11/27 17:05:28.051, 157.75 W, 92 %, 9499 MiB
2025/11/27 17:05:28.222, 157.75 W, 92 %, 9499 MiB
2025/11/27 17:05:28.377, 142.30 W, 99 %, 9499 MiB
2025/11/27 17:05:28.548, 142.30 W, 99 %, 9499 MiB
2025/11/27 17:05:28.701, 142.30 W, 99 %, 9499 MiB
2025/11/27 17:05:28.888, 133.25 W, 99 %, 9499 MiB
2025/11/27 17:05:29.058, 133.25 W, 99 %, 9499 MiB
2025/11/27 17:05:29.229, 133.25 W, 99 %, 9499 MiB
2025/11/27 17:05:29.383, 135.03 W, 99 %, 9499 MiB
2025/11/27 17:05:29.553, 135.03 W, 99 %, 9499 MiB
