backend,backend_kind,model,model_kind,params_millions,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,micro,kv_decode,3,221.18953333332078,223.89880000014276,247.097919999851,249.16006399982507,285.84342569035294,64.0,1.0,64.0,223.86688232421875,379.8994140625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,micro,kv_decode,3,528.6195666665966,548.0210999999144,597.7658999999676,602.1876599999723,116.78382456443738,64.0,1.0,64.0,547.9608154296875,208.4775390625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,micro,kv_decode,3,135.3301999999985,117.43139999998677,167.9479499999843,172.43830999998409,544.9990377361355,64.0,1.0,64.0,117.38931274414062,630.53759765625,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,short,kv_decode,3,826.7884000000171,947.8335000001152,1072.872839999991,1083.9874479999798,67.52240768024365,64.0,9.0,64.0,947.7867431640624,229.62109375,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,short,kv_decode,3,283.95306666675424,284.6334000000752,289.6053600000869,290.0473120000879,224.8506324274772,64.0,9.0,64.0,284.5778503417969,538.54931640625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,short,kv_decode,3,207.8878333332644,204.37079999987876,216.6013499999508,217.6885099999572,313.15628260024414,64.0,9.0,64.0,204.34329223632807,632.16455078125,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,short,kv_decode,3,543.7086000000212,620.3726000001097,646.7436799998723,649.0877759998511,103.1638083306527,64.0,9.0,64.0,620.3329467773438,632.44970703125,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,short,kv_decode,3,271.4986000000105,189.47909999997137,421.40316000006806,442.01863200007665,337.7681232389729,64.0,9.0,64.0,189.4318084716797,632.3837890625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,short,kv_decode,3,444.8159666666622,425.65620000004856,483.9327300000377,489.1128660000367,150.3560854980914,64.0,9.0,64.0,425.6305541992188,489.1572265625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,short,kv_decode,3,176.11610000009628,163.74590000009448,225.16136000012924,230.62051200013232,390.84948081120245,64.0,9.0,64.0,163.6802520751953,631.30419921875,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,medium,prefill,3,9.925666666731559,8.456500000193046,13.487229999964256,13.93440599994392,2010.2879441390555,17.0,17.0,0.0,8.350720405578613,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,medium,prefill,3,4.459233333439745,2.7064000000791566,7.591150000075686,8.025350000075377,6281.407034992161,17.0,17.0,0.0,2.649087905883789,539.3515625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,medium,prefill,3,11.637033333424066,11.625800000047091,12.48377000003984,12.560034000039195,1462.2649624052656,17.0,17.0,0.0,11.53433609008789,633.025390625,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,medium,prefill,3,7.834700000103112,5.116200000202298,12.495750000039152,13.15171000002465,3322.77862462918,17.0,17.0,0.0,5.071872234344482,489.4736328125,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,medium,prefill,3,5.3172333333956585,3.597200000058365,8.279540000125962,8.695748000131971,4725.897920528237,17.0,17.0,0.0,3.551232099533081,633.26806640625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,medium,prefill,3,13.038433333273739,13.312699999914912,14.018479999913325,14.081215999913184,1276.9761205547074,17.0,17.0,0.0,13.188096046447754,633.97998046875,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,medium,prefill,3,4.139299999981934,3.888000000188186,5.745329999990645,5.910425999973086,4372.427983327462,17.0,17.0,0.0,3.786751985549927,13.068359375,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,micro,prefill,3,16.06386666662729,18.759499999987383,22.07392999989679,22.368545999888738,53.30632479547283,1.0,1.0,0.0,18.654207229614254,630.7822265625,
